prompt,completion
"Vilken information delar Tradera med sina partners?


###

"," Enligt texten på Info-sidan på Traderas webbplats delar företaget information om din användning av deras webbplats med sina partners för sociala medier, annonsering och analys.
URL: https://info.tradera.com/

###"
"Vad är funktionen av fraktkalkylatorn på Tradera?


###

"," Enligt texten på Info-sidan på Traderas webbplats kan användare använda fraktkalkylatorn för att räkna ut vad fraktkostnaderna kommer bli när de gör en beställning på Tradera.
URL: https://info.tradera.com/###"
"Vilka andra policys innehåller traderys avtal?


###

"," Traderys användaravtal, integritetspolicy och alla andra policys som finns tillgängliga på deras webbplats innehåller villkor enligt vilka Traderys erbjuder användare tillgång till deras webbplatser, tjänster, applikationer och verktyg. 
URL: https://info.tradera.com/anvandaravtal-2014-2019/

###"
"När börjar den nya användaravtalet att gälla? 


###

"," Den nya användaravtalet börjar att gälla från och med 1 augusti 2019. 
URL: https://info.tradera.com/anvandaravtal-2014-2019/###"
"Vilken typ av information ger Tradera sina användare som en del av sina tjänster? 


###

"," Som en del av sina tjänster, ger Tradera information om priser, prissättning, annonsering och andra frågor till användare, men det är upp till användarna att välja att följa denna vägledning eller inte. 
URL: https://info.tradera.com/anvandaravtal-2014-2019/

###"
"Kan Tradera garantera att föremål som annonseras på sin webbplats är säkra och lagliga? 


###

"," Nej, Tradera kan inte garantera att de föremål som annonseras på sin webbplats är säkra eller lagliga. Dessutom kan Tradera inte garantera att användarnas innehåll, annonser eller omdömen är korrekta och sanningsenliga. 
URL: https://info.tradera.com/anvandaravtal-2014-2019/###"
"Ändringar i betaltjänst mars 2023

###

"," Inom kort kommer vi att göra betalningar på Tradera ännu smidigare för både köpare och säljare, bland annat genom att: Swish blir en integrerad betalmetodKundkännedomshantering för säljare blir enklareDu får möjlighet att snabbt och enkelt köpa frakt direkt från ditt saldoFakturan kommer att försvinna för den absoluta majoriteten av säljareVi kan göra förbättringarna tack vare att vi nu har tillstånd för att bedriva betaltjänster och därför inte är begränsade av externa leverantörer. I mars kommer vi att konvertera alla svenska privatpersoners konton till den nya processen. Vi hoppas på att kunna flytta över alla svenska företagskonton innan sommaren.Swish:Tidigare har vi inte haft någon insyn i vad som sker efter att köparen har öppnat sin Swish-app. Detta har inneburit att Swish inte fungerat som övriga betalsätt på plattformen och det har inte heller varit lika säkert som de integrerade betalsätten. Genom att integrera Swish så att betalningarna går genom Tradera kommer Swish att fungera som övriga betalsätt både funktions- och säkerhetsmässigt samtidigt som vi behåller smidigheten med att betala med Swish.Några av fördelarna med att Swish går via Tradera:Vi kan automatiskt markera varor som betaldaAlla Swishtransaktioner syns på ditt saldoVi kan erbjuda köparskydd när du väljer att betala med SwishÖkad trygghet för både köpare och säljareDu kan ta emot Swishbetalningar även om du inte har SwishEnklare kundkännedom:Under gällande regleringar är marknadsplatser skyldiga att ha viss grundläggande kännedom om köpare och säljare. Vi har tidigare, i vissa fall, behövt begära in ID-handling och Personbevis för att kunna uppfylla kraven för kundkännedom. Denna process har varit tidskrävande för dig som användare, ledtiderna har bitvis varit långa och för användare med skyddade personuppgifter har processen varit omständlig. I vår nya process så hanterar vi identifieringen med en BankID-verifiering, efter det behöver du bara svara på några enkla frågor om ditt användande av Tradera.Vanliga frågor och svar:Q: Innebär detta att jag inte längre kan ta emot betalningar direkt till mitt Swish-nummer?A: Det stämmer, Swish går nu via Traderabetalning precis som alla andra betalsätt. Det gör det enklare att se när en vara blivit betald och vilken avgift som dragits för vilken försäljning än när Swish hanterades utanför Tradera.Q: Varför har ni ändrat så att Swish går via Tradera?A: Det ökar säkerheten på plattformen och det blir enklare för dig som säljer att se när du fått betalt. För dig som köpare fungerar det som innan men det går nu att välja till köparskydd vid betalning.###"
"Varför kan jag inte välja att betala med Klarna på vissa annonser?

###

"," Att betala med Klarna erbjuds inte i alla kategorier på Tradera. Nedan hittar du en lista på kategorier där du inte kan välja Klarna som betalsätt:Antikt &amp; Design - MattorBiljetter &amp; ResorDatorer &amp; Tillbehör - MjukvaraFordon, Båtar &amp; DelarFrimärkenKlockorKonstMynt &amp; SedlarSamlarsakerAutograferKnivarKnivar &amp; SvärdMedicinska prylarMilitära samlarsakerSmycken &amp; ÄdelstenarSport &amp; Fritid -Jakt###"
"Jag hittar inte min annons

###

"," Om du inte finner din annons kan det vara så att annonsen inte längre finns kvar eller att den är dold. Du kan se en annons i 120 dagar efter att den har avslutats, därefter tas annonsen bort. Är din annons inte äldre än 120 dagar är den förmodligen dold. Säljare: Du hittar dina dolda annonser genom att gå in på ""Sålda"" och längst upp på sidan gå in via ""Visa"" - ""Välj"" - Kryssa för ""Dolda"". Köpare: Du hittar dina dolda annonser under ""Mina köp"" och längst upp på sidan, gå in via ""Dolda"". ###"
"Hur bokar jag frakt med DB Schenker?

###

"," Så här gör du för att boka frakt med DB Schenker:Gå till Sålda i menyn och därefter på Boka frakt-knappen i blått till höger.Gå därefter igenom nedanstående fyra steg:Kontrollera uppgifternaKontrollera uppgifterna för att se att mottagarens adress stämmer.Välj paketstorlekFyll i pakettyp. Tänk på att välja rätt storlek. Väger paketet mer än det paket du valt kommer du som säljare att bli debiterad mellanskillnaden i efterhand. Denna avgift kommer på din nästkommande faktura. UtlämningsställeNärmaste utlämningsställe är redan förvalt. Vill du ändra detta klickar du på ”Ändra utlämningsställe”.Betala bokningKlicka på ”Boka frakt”. Välj betalsätt och tryck på ”Betala”. Du kan betala med Swish, kortbetalning eller PayPal.När du betalat för bokningen så kommer ett mail med en QR-kod samt en kod för utskrift att skickas till den mailadress du har angett. Dessa koder använder du för att skriva ut fraktsedeln hos ditt ombud. Vid frakt utanför Sverige så behöver du själv ha tillgång till en skrivare då QR-kod/kod för utskrift ännu inte har stöd för frakt utanför Sverige.Läs mer om DB Schenker här!###"
