,orig_index,context_segment,context_segment_text,page_url
0,0,0,"Ändringar i betaltjänst mars 2023
Inom kort kommer vi att göra betalningar på Tradera ännu smidigare för både köpare och säljare, bland annat genom att: Swish blir en integrerad betalmetodKundkännedomshantering för säljare blir enklareDu får möjlighet att snabbt och enkelt köpa frakt direkt från ditt saldoFakturan kommer att försvinna för den absoluta majoriteten av säljareVi kan göra förbättringarna tack vare att vi nu har tillstånd för att bedriva betaltjänster och därför inte är begränsade av externa leverantörer. I mars kommer vi att konvertera alla svenska privatpersoners konton till den nya processen. Vi hoppas på att kunna flytta över alla svenska företagskonton innan sommaren.Swish:Tidigare har vi inte haft någon insyn i vad som sker efter att köparen har öppnat sin Swish-app. Detta har inneburit att Swish inte fungerat som övriga betalsätt på plattformen och det har inte heller varit lika säkert som de integrerade betalsätten. Genom att integrera Swish så att betalningarna går genom Tradera kommer Swish att fungera som övriga betalsätt både funktions- och säkerhetsmässigt samtidigt som vi behåller smidigheten med att betala med Swish.Några av fördelarna med att Swish går via Tradera:Vi kan automatiskt markera varor som betaldaAlla Swishtransaktioner syns på ditt saldoVi kan erbjuda köparskydd när du väljer att betala med SwishÖkad trygghet för både köpare och säljareDu kan ta emot Swishbetalningar även om du inte har SwishEnklare kundkännedom:Under gällande regleringar är marknadsplatser skyldiga att ha viss grundläggande kännedom om köpare och säljare. Vi har tidigare, i vissa fall, behövt begära in ID-handling och Personbevis för att kunna uppfylla kraven för kundkännedom. Denna process har varit tidskrävande för dig som användare, ledtiderna har bitvis varit långa och för användare med skyddade personuppgifter har processen varit omständlig. I vår nya process så hanterar vi identifieringen med en BankID-verifiering, efter det behöver du bara svara på några enkla frågor om ditt användande av Tradera.Vanliga frågor och svar:Q: Innebär detta att jag inte längre kan ta emot betalningar direkt till mitt Swish-nummer?A: Det stämmer, Swish går nu via Traderabetalning precis som alla andra betalsätt. Det gör det enklare att se när en vara blivit betald och vilken avgift som dragits för vilken försäljning än när Swish hanterades utanför Tradera.Q: Varför har ni ändrat så att Swish går via Tradera?A: Det ökar säkerheten på plattformen och det blir enklare för dig som säljer att se när du fått betalt. För dig som köpare fungerar det som innan men det går nu att välja till köparskydd vid betalning.",FAQs
1,1,0,"Varför kan jag inte välja att betala med Klarna på vissa annonser?
Att betala med Klarna erbjuds inte i alla kategorier på Tradera. Nedan hittar du en lista på kategorier där du inte kan välja Klarna som betalsätt:Antikt &amp; Design - MattorBiljetter &amp; ResorDatorer &amp; Tillbehör - MjukvaraFordon, Båtar &amp; DelarFrimärkenKlockorKonstMynt &amp; SedlarSamlarsakerAutograferKnivarKnivar &amp; SvärdMedicinska prylarMilitära samlarsakerSmycken &amp; ÄdelstenarSport &amp; Fritid -Jakt",FAQs
2,2,0,"Jag hittar inte min annons
Om du inte finner din annons kan det vara så att annonsen inte längre finns kvar eller att den är dold. Du kan se en annons i 120 dagar efter att den har avslutats, därefter tas annonsen bort. Är din annons inte äldre än 120 dagar är den förmodligen dold. Säljare: Du hittar dina dolda annonser genom att gå in på ""Sålda"" och längst upp på sidan gå in via ""Visa"" - ""Välj"" - Kryssa för ""Dolda"". Köpare: Du hittar dina dolda annonser under ""Mina köp"" och längst upp på sidan, gå in via ""Dolda"". ",FAQs
3,3,0,"Hur bokar jag frakt med DB Schenker?
Så här gör du för att boka frakt med DB Schenker:Gå till Sålda i menyn och därefter på Boka frakt-knappen i blått till höger.Gå därefter igenom nedanstående fyra steg:Kontrollera uppgifternaKontrollera uppgifterna för att se att mottagarens adress stämmer.Välj paketstorlekFyll i pakettyp. Tänk på att välja rätt storlek. Väger paketet mer än det paket du valt kommer du som säljare att bli debiterad mellanskillnaden i efterhand. Denna avgift kommer på din nästkommande faktura. UtlämningsställeNärmaste utlämningsställe är redan förvalt. Vill du ändra detta klickar du på ”Ändra utlämningsställe”.Betala bokningKlicka på ”Boka frakt”. Välj betalsätt och tryck på ”Betala”. Du kan betala med Swish, kortbetalning eller PayPal.När du betalat för bokningen så kommer ett mail med en QR-kod samt en kod för utskrift att skickas till den mailadress du har angett. Dessa koder använder du för att skriva ut fraktsedeln hos ditt ombud. Vid frakt utanför Sverige så behöver du själv ha tillgång till en skrivare då QR-kod/kod för utskrift ännu inte har stöd för frakt utanför Sverige.Läs mer om DB Schenker här!",FAQs
4,4,0,"Traderabetalning FAQ
Alla som säljer hos oss får automatiskt vår tjänst Traderabetalning. Traderabetalning gör att du som säljer inte behöver skaffa egna avtal eller konton hos olika aktörer för att erbjuda fler betalsätt.Vanliga frågor och svar.Q: Vad är Traderabetalning?A: Traderabetalning är benämningen vi använder för en samling betalsätt som vi integrerat på siten, bland annat ingår faktura eller avbetalning för köparen.Q: Kostar det något att använda Traderabetalning eller har ni några planer på att ta betalt för det.A: Det kostar inget och vi har inga planer på att ta betalt för att använda Traderabetalning.Q: Varför tar det 1-2 dagar innan jag får mina pengar med Traderabetalning?A: Betalningarna går via en extern betalningsleverantör för att efterleva EU´s PSD2 krav, hanteringstiden är helt enkelt den tid det tar att skicka pengarna från en bank till en annan.Vi gör detta för att vi ska ha en säker marknadsplats som följer de lagar och regler som gäller inom EU.Q: Vad innebär denna ändring för mig? A: Målet med ändringen är att ge köpare ett större urval av betalmetoder, utan att göra det komplicerat för säljare. Genom att erbjuda kortbetalning och PayPal så når man också utländska köpare.Q: Vad behöver jag som säljare göra för att komma igång med tjänsten?A: Du kommer behöva ange det kontonummer du vill ha in pengarna på samt ett Swish-nummer, efter det så får dina köpare möjlighet att välja fritt bland de betalsätten som finns med i Traderabetalning.Du får dina utbetalningar 1-2 bankdagar efter att köparen har betalat men du kan direkt se när en säljare betalt för varan och om köparen väljer att använda Swish så får du dina pengar direkt precis som innanSå dina köpare kommer få ett större utbud av betalningsmöjligheter utan att du som säljare behöver skaffa flera olika konton, vi löser det åt dig.Dina köpare kommer också att få möjligheten att använda Kreditlösning eller betala via faktura utan att det har någon påverkan på när du får dina utbetalningar.Vi sköter också automatiska vinnarmail, betalningspåminnelser och du kommer kunna följa hela din affär.Q: Jag har alltid använt Swish, kommer jag fortsatt kunna använda Swish?A: Ja, Swish är ett av de betalsätt som ingår i Traderabetalning.Q: Måste jag ha Swish för att kunna ta emot betalning via Swish?A: Ja, Swish är det enda betalsätt där vi inte kommer kunna erbjuda tjänsten om du inte har deras tjänst.Q: Köparen har betalat med PayPal, måste jag skaffa ett PayPal konto för att få pengarna?A: Det krävs inget PayPal konto för att ta emot dessa betalningar, pengarna kommer att gå in på det konto som du angett för utbetalningar.Q: Kommer detta innebära att jag som säljare förväntas skicka alla mina ordrar med spårningsbar frakt?A: Nej, då vi har stor spridning i vad som säljs på siten så kommer vi inte kräva spårningsbar frakt. Men om det är en dyrare vara så rekommenderar vi att du bokar spårningsbar frakt för att ha försäkring mot olyckor eller om försändelsen kommer bort. ",FAQs
5,5,0,"Hur bokar jag frakt med PostNord?
Fraktsedeln skickas till dig med e-post när du bokat frakt via PostNord. Du behöver inte ha tillgång till en skrivare då alla PostNords ombud har möjlighet att skriva ut fraktsedeln åt dig.Du behöver däremot kunna betala för frakten via internet.Så här gör du för att boka frakt med PostNord:Gå till ""Sålda"" i menyn och därefter på Boka frakt-knappen i blått till höger.Gå därefter igenom nedanstående tre steg:Kontrollera uppgifternaKontrollera uppgifterna för att se att mottagarens adress stämmer.Välj paketstorlekFyll i pakettyp. Tänk på att välja rätt storlek. Väger paketet mer än det paket du valt kommer du som säljare att bli debiterad mellanskillnaden i efterhand. Denna avgift kommer på en separat faktura från PostNord.Betala bokningKlicka på ”Boka frakt”. Välj betalsätt och tryck på ”Betala”. Du kan betala med Swish eller kortbetalning.Här kan du läsa mer om fraktbokning med PostNord.",FAQs
6,6,0,"Vad gör jag när jag har fått betalt?
När du mottagit betalningen är det dags att boka frakt och skicka varan. När du väl skickat varan är det alltid en bra idé att kontakta köparen och meddela detta så att köparen är med på noterna.När varan är levererad har du möjlighet att lämna omdöme på affären via Sålda listan. Ett omdöme ska spegla hur affären har gått.Läs mer om hur du lämnar ett omdöme här!",FAQs
7,7,0,"Hur ändrar jag i en pågående annons?
Klicka på ”Ändra”, som du ser längst upp till höger om annonsen. Genomför dina förändringar och klicka på spara.Du kan inte ändra i en auktion som har fått bud. Då kan du istället göra ett texttillägg.Gå in på Aktiva annonser Klicka dig in på annonsen Klicka på ""Ändra""När annonsen har bud kan du bara utöka området du säljer i.",FAQs
8,8,0,"Hur startar jag en tvist?
Tvist - TraderaOm du valt till köparskydd eller betalat med Paynova och inte mottagit varan eller om varan skiljer sig markant från beskrivningen har du möjlighet att starta en tvist. Klicka på ”Mer”-fliken vid berörd annons och välj ”Anmäl utebliven vara”.Därifrån kan du skapa en tvist. Första steget i en tvist är alltid att du och säljaren får chansen att lösa ärendet tillsammans. De flesta problem kan snabbt lösas när köpare och säljare har direktkontakt med varandra. Meddelanden man skriver i tvisten skickas till säljaren som uppmanas att svara på dem. Om ni inte hittar en lösning tillsammans eller om säljaren inte svarar har du möjlighet att eskalera tvisten till Tradera. Då tar Tradera över hanteringen av ärendet och beslutar i tvisten. Tidsfristen på en eskalerad tvist kan vara upp till 14 dagar.Tvisten kan startas inom 30 dagar från att annonsen avslutades.Tvist - KlarnaFör att starta en tvist hos Klarna så behöver du logga in på din Klarna app. Tvist - PayPalOm du betalat med PayPal behöver du logga in på ditt PayPal konto för att starta en tvist.Du kan läsa mer om hur en tvist fungerar här.",FAQs
9,9,0,"Hur bokar jag frakt med DHL?
Klicka på Sålda i menyn och därefter på Boka frakt-knappen i blått till höger. Gå därefter igenom nedanstående fyra steg:Kontrollera uppgifternaKontrollera uppgifterna för att se att mottagarens adress stämmer.Välj pakettypVälj sedan bland de alternativ som DHL erbjuder.UtlämningsställeAdressuppgifterna hämtas från ditt köp. Klicka på ”Välj ett DHL-ombud” och markera det ombud du vill skicka till.Bekräfta bokningenKlicka på ”lägg i varukorg” för att slutföra bokningen. Välj betalsätt och betala frakten, alternativt välj att du betalar hos ombudet. Du ser sedan en bekräftelse på att din bokning av frakt är genomförd. Du får även en bekräftelse skickad till din e-postadress. Skriv ut bekräftelsen (streckkoden måste vara med) och ta med den till ditt DHL-ombud. Har du inte tillgång till en skrivare går det också bra att ange sändningsnumret när du lämnar in försändelsen.",FAQs
10,10,0,"Jag har fått mejl om att ni stängt min annons. Vilken gäller det?
När din annons eller dina annonser avslutas informerar vi dig per mejl med mer information om regelbrottet. I ”Ej sålda” listan hittar du dina avslutade annonser, de är markerade med statusen ”Avstängd”.",FAQs
11,11,0,"Jag har inte fått min vara
Det händer mycket sällan att brev eller paket inte kommer fram till mottagaren. Skulle du sakna en leverans trots att betalningen är genomförd – kontakta alltid säljaren så att ni tillsammans kan reda ut vad som kan ha hänt.Kontrollera att din betalning nått fram till säljaren. Dubbelkolla också att säljaren fått rätt adressuppgifter till dig.När du handlar av en privatperson så ligger ansvaret för att en inlämnad försändelse levereras till angiven adress hos speditören. När säljaren postat brevet eller lämnat in paketet har denne fullgjort sin del av avtalet. Tradera rekommenderar att man använder sig av spårbara försändelser med kollinummer eller inlämningskvitto för att kunna påvisa att varan lämnats till speditören. Om så är fallet kan du alltid söka efter leveransen hos den aktuella speditörens hemsida.Har du köpt av en näringsidkare? Då ligger ansvaret på att varan kommer fram rätt på säljaren. I ett sådant fall kan du vända dig till Konsumentverket för att driva ärendet vidare.Kontakt med säljaren görs med fördel över telefon för att undvika missförstånd. Du hittar säljarens kontaktuppgifter i Mina köp.I Mitt Tradera har du även möjlighet att lämna en anmälan om utebliven leverans under ”Mer”-fliken vid berörd annons. Välj alternativ ”Anmäl utebliven vara”.Har du använt ett av våra integrerade betalningsalternativ med köpskydd har du även möjlighet att anmäla försändelsen som försvunnen, samt ansöka om återbetalning.",FAQs
12,12,0,"Jag får inte kontakt med säljaren
Om du efter avslutad annons inte får kontakt med säljaren rekommenderar vi först och främst att du provar att ta kontakt via Traderameddelande. Du kan även hitta säljarens uppgifter i Mina köp. Klicka på ”Fler alternativ” och välj ”Visa orderbekräftelse”.Får du inte kontakt med säljaren varken via meddelande, telefon eller e-post inom en rimlig tid kan detta ge dig som köpare rätt att avstå från köpet. Kontakta gärna vår Kundservice om du har vidare funderingar.",FAQs
13,13,0,"Hur ändrar jag mina uppgifter på kontot?
Du ändrar dina registrerade uppgifter inne på Inställningar.Där kan du bland annat ändra mejladress, namn, användarnamn, telefonnummer, lösenord samt adress.",FAQs
14,14,0,"Hur hittar jag köparens uppgifter om jag tappat bort vinnarmejlet?
Du hittar adressuppgifter via Sålda. För att sedan se mejladress och telefonnummer klickar du på medlemmens alias.",FAQs
